time,open,high,low,close,vol
1577836800,129.16,187.0,125.88,179.99,12817879.25715
1580515200,179.94,288.41,179.1,217.21,21153996.1458
1583020800,217.29,251.93,86.0,132.72,40100166.98948
1585699200,132.72,227.3,128.62,206.08,30622487.94288
1588291200,206.07,247.0,176.0,231.57,24717586.81853
1590969600,231.56,253.8,216.0,225.6,16073920.0773
1593561600,225.59,349.45,222.87,346.33,20935176.05306
1596240000,346.32,446.0,325.0,433.79,28769352.88701
1598918400,433.8,488.84,308.42,359.83,34431117.99327
1601510400,359.83,420.73,332.18,386.46,19292775.62694
1604188800,386.44,623.0,370.23,616.66,36426105.3325
1606780800,616.65,758.74,530.43,736.42,30451194.43342
1609459200,736.42,1475.0,714.29,1312.55,59589754.02553
1612137600,1312.45,2042.34,1269.99,1419.18,33561918.29258
1614556800,1418.67,1947.29,1409.91,1919.37,23574009.12632
1617235200,1919.37,2798.3,1885.02,2772.42,27220161.75533
1619827200,2772.42,4372.72,1728.74,2706.15,49340730.6802
1622505600,2706.15,2891.95,1700.48,2275.68,27539800.65398
1625097600,2275.68,2553.86,1706.0,2531.05,21263142.44244
1627776000,2531.1,3476.0,2442.32,3429.2,21436438.89134
1630454400,3429.19,4027.88,2652.0,3000.61,17261458.33691
1633046400,3000.62,4460.47,2969.07,4287.21,14410441.89498
1635724800,4287.48,4868.0,3913.0,4630.26,12756119.36968
1638316800,4630.25,4778.75,3503.68,3676.23,12944994.6731
1640995200,3676.22,3900.73,2159.0,2686.94,13966551.02275
1643673600,2686.94,3283.66,2300.0,2920.95,14131677.98022
1646092800,2920.83,3481.87,2445.0,3281.51,14266235.7133
1648771200,3281.51,3580.34,2709.26,2726.66,12949941.312
1651363200,2726.67,2965.85,1703.0,1941.9,24777431.00913
1654041600,1941.9,1972.58,881.56,1071.01,40584115.82385
1656633600,1071.02,1784.79,1006.32,1678.12,38630369.93046
1659312000,1678.12,2030.0,1422.08,1554.1,26075507.3157
1661990400,1554.11,1789.0,1220.0,1328.72,22545307.0992
1664582400,1328.71,1663.06,1190.0,1572.69,16768090.4141
1667260800,1572.69,1680.0,1073.53,1294.46,23158646.7442
1669852800,1294.46,1352.72,1150.51,1196.13,10466310.2787
1672531200,1196.13,1679.26,1190.57,1585.33,14091007.0828
1675209600,1585.32,1742.97,1461.93,1605.23,13176410.4841
1677628800,1605.24,1857.16,1368.39,1821.52,20803771.4363
1680307200,1821.52,2141.54,1762.77,1870.09,14307106.2608
1682899200,1870.08,2019.0,1740.0,1873.63,11277172.8598
1685577600,1873.63,1948.6,1626.01,1933.79,10385952.6378
1688169600,1933.8,2029.11,1826.0,1856.14,7059027.6746
1690848000,1856.13,1879.74,1550.0,1645.76,7456380.6685
1693526400,1645.77,1694.32,1531.01,1670.89,6037582.383
1696118400,1670.89,1865.54,1521.0,1814.67,8141249.517
1698796800,1814.67,2136.99,1777.11,2051.96,11382319.5486
1701388800,2051.95,2445.8,2045.04,2281.87,11869847.2762
1704067200,2281.87,2717.32,2100.0,2283.14,13221129.0566
1706745600,2283.15,3522.81,2240.0,3340.09,12127707.2989
1709251200,3340.1,4093.92,3056.56,3645.29,17665326.0855
1711929600,3645.29,3730.71,2852.0,3014.05,12887073.7799
1714521600,3014.04,3977.0,2817.0,3762.29,11599042.9138
1717200000,3762.29,3887.47,3240.0,3438.16,7615636.878
1719792000,3438.16,3562.82,2810.0,3232.74,8935241.1295
1722470400,3232.74,3242.57,2111.0,2513.01,12527905.13
1725148800,2513.0,2728.6,2150.55,2602.23,7928515.7252
1727740800,2602.24,2769.48,2310.0,2518.61,8867194.2538
1730419200,2518.61,3738.98,2357.59,3703.6,18365244.9426
1733011200,3703.59,4107.8,3101.9,3443.87,15089016.8719
