time,open,high,low,close,vol
1636934400,4626.5,4772.01,3956.44,4258.31,3286912.079
1637539200,4259.7,4551.0,3913.0,4294.78,3257951.4345
1638144000,4294.77,4778.75,3503.68,4196.44,4436039.4119
1638748800,4196.44,4488.0,3828.22,4130.0,3290695.878
1639353600,4130.0,4142.75,3643.73,3924.14,2948431.565
1639958400,3924.14,4150.0,3753.0,4063.56,2019411.7582
1640563200,4063.57,4127.46,3585.0,3828.27,1709257.0777
1641168000,3828.11,3900.73,3000.0,3151.97,2765390.1877
1641772800,3151.97,3411.43,2928.83,3346.88,2298174.7327
1642377600,3346.89,3357.57,2300.0,2539.01,3957668.21457
1642982400,2539.0,2722.0,2159.0,2601.68,4191797.71368
1643587200,2601.67,3074.56,2476.07,3054.99,2957715.47702
1644192000,3055.0,3283.66,2836.7,2871.13,2959352.1091
1644796800,2871.14,3196.19,2576.0,2621.99,2822641.1922
1645401600,2621.99,2878.0,2300.0,2616.79,5102759.6041
1646006400,2616.79,3043.91,2535.0,2551.29,3629909.1001
1646611200,2551.3,2775.85,2445.0,2515.65,3334395.4868
1647216000,2515.66,2987.7,2498.67,2861.38,3153485.9131
1647820800,2861.39,3299.37,2829.81,3295.65,3077928.9636
1648425600,3295.65,3580.34,3210.68,3521.91,3217954.996
1649030400,3521.9,3555.0,3143.15,3203.04,2989389.3282
1649635200,3203.04,3213.63,2950.0,2988.06,2770152.0815
1650240000,2988.07,3180.0,2883.22,2921.0,2706293.2595
1650844800,2920.99,3039.54,2709.26,2824.81,3513007.2245
1651449600,2824.81,2965.85,2484.0,2519.71,4016957.5406
1652054400,2519.71,2530.78,1800.0,2145.29,9665837.76962
1652659200,2145.29,2145.29,1903.18,2043.19,3934960.6044
1653264000,2043.19,2088.5,1703.0,1813.64,5151103.95681
1653868800,1813.64,2016.45,1737.0,1806.23,4894188.4294
1654473600,1806.22,1920.0,1423.0,1434.84,7417256.10137
1655078400,1434.84,1455.0,881.56,1128.53,16453316.35098
1655683200,1128.53,1280.0,1043.65,1197.79,8696393.6118
1656288000,1197.79,1238.93,998.0,1074.26,7610801.1468
1656892800,1074.26,1276.46,1045.37,1168.36,7546048.7849
1657497600,1168.37,1422.91,1006.32,1338.65,10309759.7535
1658102400,1338.65,1664.34,1336.07,1597.7,9506416.08871
1658707200,1597.7,1784.79,1356.17,1678.12,8346331.74535
1659312000,1678.12,1749.93,1559.28,1700.19,5365873.8771
1659916800,1700.2,2030.0,1656.78,1935.31,6005908.6758
