time,open,high,low,close,vol
1734782400,98262.08,98283.95,96398.39,97527.97,5930.1048
1734796800,97527.96,97723.18,96819.36,97269.03,2933.73741
1734811200,97269.03,98057.51,96539.91,97291.99,2838.96097
1734825600,97292.0,97448.08,96549.37,96994.37,1848.52784
1734840000,96994.37,97071.97,95890.28,96210.24,2981.41637
1734854400,96210.25,97351.57,96196.85,97101.28,2184.9888
1734868800,97101.29,97300.0,95109.13,95377.72,4444.90674
1734883200,95377.71,96444.45,94700.0,94836.55,3910.30845
1734897600,94836.55,95824.0,94250.35,95186.27,3983.68216
1734912000,95186.28,96043.99,93700.42,96025.15,6028.4424
1734926400,96025.15,96509.98,94705.07,95404.01,3919.1348
1734940800,95404.01,96538.92,95036.77,95932.42,3020.85272
1734955200,95932.41,96423.0,93107.52,93250.37,8316.98998
1734969600,93250.38,94260.0,92690.0,93044.79,6236.29663
1734984000,93044.79,95509.09,92520.0,94881.47,5289.0505
1734998400,94881.47,94881.47,93569.02,94348.75,3135.824
1735012800,94348.75,94653.45,93810.45,94233.19,1999.49298
1735027200,94233.2,94635.7,93840.0,94398.6,1936.10063
1735041600,94398.6,98300.0,94075.1,98300.0,6970.36477
1735056000,98299.99,99487.99,97546.57,97581.09,6446.91305
1735070400,97581.1,99068.9,97250.0,98663.58,3185.52945
1735084800,98663.58,98878.44,97725.27,98029.48,2347.026
1735099200,98029.49,98581.9,97844.18,98084.33,1454.63832
1735113600,98084.33,99349.31,97773.83,97907.61,3026.36685
1735128000,97907.61,98832.89,97632.02,98519.98,2843.35507
1735142400,98519.99,99299.99,98134.4,99018.52,2094.84554
1735156800,99018.52,99569.15,98384.61,99429.6,2707.93332
1735171200,99429.61,99963.7,98468.26,98995.17,3339.03441
1735185600,98995.18,98995.18,97711.17,97719.99,2538.93374
1735200000,97719.99,97772.13,95616.18,95752.0,3395.72361
