time,open,high,low,close,vol
1672502400,16590.1,16613.3,16581.24,16600.39,4269.58976
1672506000,16600.93,16604.37,16571.01,16582.08,4844.04845
1672509600,16581.45,16589.36,16571.8,16577.79,3340.8033
1672513200,16577.78,16590.06,16565.1,16570.14,4044.43359
1672516800,16570.14,16574.97,16564.09,16568.6,2622.14355
1672520400,16568.19,16571.64,16544.12,16548.28,3618.77389
1672524000,16548.28,16567.49,16470.0,16520.81,6695.13625
1672527600,16520.28,16551.24,16487.74,16542.4,4973.43307
1672531200,16541.77,16545.7,16508.39,16529.67,4364.8357
1672534800,16529.59,16556.8,16525.78,16551.47,3590.06669
1672538400,16551.47,16559.77,16538.14,16548.19,3318.84038
1672542000,16548.19,16548.19,16518.21,16533.04,4242.0805
1672545600,16533.04,16535.97,16511.92,16521.85,4285.00909
1672549200,16522.22,16534.98,16512.3,16530.71,3717.37178
1672552800,16530.71,16550.0,16528.81,16539.79,3344.90206
1672556400,16539.79,16544.57,16499.01,16526.19,5184.95822
1672560000,16525.7,16534.03,16508.45,16513.34,4271.92023
1672563600,16513.33,16542.49,16505.2,16537.88,4100.75049
1672567200,16538.32,16548.71,16533.42,16548.34,3803.76616
1672570800,16547.98,16557.0,16540.2,16556.66,3739.53013
1672574400,16556.66,16572.94,16548.58,16560.93,4150.48564
1672578000,16561.29,16567.26,16539.05,16548.04,4379.68203
1672581600,16547.61,16558.56,16540.85,16542.94,3294.99093
1672585200,16542.94,16559.99,16533.68,16558.73,3220.93236
1672588800,16558.73,16584.66,16558.0,16565.14,4962.13235
1672592400,16565.13,16596.64,16562.51,16578.85,4714.40354
1672596000,16579.25,16603.89,16578.85,16591.88,4146.37245
1672599600,16591.35,16623.65,16591.34,16603.08,4709.74023
1672603200,16603.53,16628.0,16600.55,16604.51,4189.05318
1672606800,16604.51,16608.83,16592.63,16606.68,3656.77804
1672610400,16607.02,16613.85,16586.24,16602.12,3690.19661
1672614000,16602.39,16625.0,16600.8,16616.75,3846.61495
1672617600,16617.17,16629.05,16581.25,16588.35,4327.06948
1672621200,16587.97,16589.2,16548.7,16565.04,5791.85443
1672624800,16565.03,16595.92,16555.0,16587.85,3150.41571
1672628400,16587.99,16707.25,16581.8,16661.94,6194.13548
1672632000,16662.38,16674.84,16629.29,16639.44,4983.39445
1672635600,16639.74,16662.94,16619.44,16647.58,4976.78402
1672639200,16648.37,16663.27,16635.93,16641.1,3210.61774
1672642800,16641.1,16769.51,16637.44,16721.28,12856.08557
1672646400,16721.27,16772.01,16707.52,16733.71,7080.81126
1672650000,16733.71,16745.68,16710.54,16717.5,5599.20896
1672653600,16717.5,16762.86,16708.68,16727.95,5892.57705
1672657200,16727.72,16741.72,16704.07,16735.11,4695.34392
1672660800,16735.51,16746.29,16719.3,16721.54,4262.00363
1672664400,16721.96,16725.6,16685.0,16694.78,5598.29706
1672668000,16695.12,16710.41,16669.15,16698.69,5460.35075
